Acronym,Meaning,Description
ACE,Advanced CMOS Enhancement,"Term the fab team uses for what we call ""implant"" layers. Intended to be more descriptive, as some ""implant"" layers (e.g. NES/ESD) do epitaxial growth rather than implanting dopants."
AD,Advanced Design,"A group in PTD that helps interface between the rest of PTD and other design teams. They help negotiate design rules, design building blocks that are used by other design teams for products, and design test chips and other E-test structures, among other things."
ADC,Add/Drop Checker,"A Calibre module that occurs in nearly every SEQ. It typically checks the output of PreOPC against the output of MEC to ensure that no target features were unintentionally added or dropped during the intervening flows (OPC, Fixup, and MEC)."
ADH,Adhesion Module (Track),Baking step for adhesion promoter pre-resist coat.  Found in Lot checklist from lithography owner. 
ADM,Add/Drop/MRC Check,"A module recipe found in every modern recipe set. This checks whether mask data was added or dropped (i.e., spurious mask features were created, or actual mask features were destroyed) between PreOPC and MEC."
ADM,Adamantine,Transistors that are up the stack rather than only on the front end. See ADAMAMANTINE_INTRO_032020.pptx
AIMS,Aerial Image Measurement System,A mask qualification tool. http://www.zeiss.com/semiconductor-manufacturing-technology/en_de/products-solutions/photomask-systems/mask-qualification.html
AIR,Aerial Image Recovery,A correction strategy that moves edges of features (typically in a transition region from tight to loose pitch) to improve the aerial image contrast
ALT,ALTernative ,Refers to ASML's Tachyon litho simulation platform
ambit,ambit,Range of influence of the convolution kernel around an evaluation point.
AMHS,Automated Material Handling System,"Within the fabrication facilities, it is a wafer movement system."
AMP,Automated Measurement Parameters,"The parameters used by the SEM to measure sites. Note that when RET takes data to build a model, they use very different AMP than Litho uses when making, for example, SPC charts. Litho's parameters use a higher SEM beam intensity so that scans can be as fast as possible, but this reduces the sensitivity to small differences in CD, which are important in model-building. "
AOT,Auto Override Entry,"In TES/METIS, overriding TICLIB default, usually to support shuttles with multiple dot products that may require different TIC."
APE,Algorithmic Process Enhancement,First corrections are done for on-target process and then corrections are modified through APE for variation in exposure and focus; looks across a bit of focus to help features with minimal DOF.
APSM,Alternating Phase Shift Mask,"A chrome binary mask with phase assist features created through etching the quartz. The eched quartz is usually at 180 degree phase difference relative to the un-etched quartz. The numerical aperture of an APSM mask fits more diffraction orders while the zeroth diffraction order vanishes. This results results in better contrast, better depth of focus and lower MEEF."
ARC,Anti-Reflective Coating,"A layer spun on to improve exposure by limiting reflectivity.  Generally it is a BARC, bottom ARC, spun on wafer prior to resist coating."
ATP,Automated Tagging Program,Utility used by IMO to tag DIC features for reticle disposition during mask fabrication.  Used for 76A and newer technologies.
ATT,Average To Target,See also MTT.
Attacker,attacker geometry,"Two nearby features that both have high aspect ratio. The short side of one feature (the ""attacker"") faces the long side of the other feature (the ""victim"")."
AXLE,Automated XOR LayerDependency Extractor,Tapeout utility that stores XOR reports and analytics for taped-in TOPREP databases. Used to help narrow down layers for LDI waivers. See LDI.
BCCD,,CD when resists patterns are transferred to underlying hard mask through etch (trenches in hard mask).
BCLA,Best Condition Look Ahead,A BCLA wafer is a wafer shot at best conditions for initial fab process testing.
BDW,Broadwell,Name of Intel product like Haswell
BE,Back End,"Refers to later layers in the process, usually after CON"
BECL,Back End Community Loop,See FECL. BECL is backside power.
BEEP,Blocked Etch Enduring? Particle,A type of fin defect. A region that should have been etched but remains post etch and that blocks a subsequent etching step. (A blocked etch at the previous etch step could have caused the BEEP itself)
BiC,Best in Class,
